Host,N,Abundance,Blood,HBI,Feeding_Ratio,Genus,Species,Mosquito_Strain,Collection,Location,Citation,Figure_Table,Notes
Human,16,,,0.102,,Anopheles,albimanus,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,"Just gives HBI so not good enough to really model intrinsic biting preference, but fine enough or the land-disease model"
Human,1,,,0.010,,Anopheles,anthropophagus,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,3,,,0.109,,Anopheles,aquasalis,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,32,,,0.871,,Anopheles,arabiensis,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,8,,,0.245,,Anopheles,atroparvus,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,9,,,0.127,,Anopheles,barbirostris,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,55,,,0.052,,Anopheles,culicifacies,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,2,,,0.458,,Anopheles,darlingi,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,18,,,0.355,,Anopheles,dirus,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,19,,,0.658,,Anopheles,farauti,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,9,,,0.300,,Anopheles,flavirostris,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,27,,,0.034,,Anopheles,fluviatilis,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,8,,,0.019,,Anopheles,freeborni,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,30,,,0.980,,Anopheles,funestus,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,36,,,0.939,,Anopheles,gambiae ss,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,17,,,0.151,,Anopheles,labranchiae,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,10,,,0.155,,Anopheles,maculatus,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,6,,,0.690,,Anopheles,melas,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,14,,,0.172,,Anopheles,messeae,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,12,,,0.425,,Anopheles,minimus,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,15,,,0.008,,Anopheles,multicolor,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,11,,,0.222,,Anopheles,nuneztovari,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,17,,,0.520,,Anopheles,pharoahensis,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,13,,,0.477,,Anopheles,pseudopunctipennis,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,12,,,0.062,,Anopheles,pulcherrimus,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,7,,,0.855,,Anopheles,punctulatus sl,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,27,,,0.111,,Anopheles,quadrimaculatus,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,47,,,0.087,,Anopheles,sacharovi,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,18,,,0.100,,Anopheles,sergentii,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,21,,,0.018,,Anopheles,sinensis,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
Human,37,,,0.023,,Anopheles,stephensi,,Various,See Figure 1,Kiszewski et al. 2004,Table 2,See first line
