record,mosquito_species,day,count,trans,style
1,Haemagogus capricornii,0,1,0,pool
2,Haemagogus capricornii,0,1,0,pool
3,Haemagogus capricornii,0,1,0,pool
4,Haemagogus capricornii,0,1,0,pool
5,Haemagogus capricornii,0,1,0,pool
6,Haemagogus capricornii,0,1,0,pool
7,Haemagogus capricornii,14,1,0,pool
8,Haemagogus capricornii,0,1,0,pool
9,Haemagogus capricornii,0,1,0,pool
10,Haemagogus capricornii,15,1,0,pool
11,Haemagogus capricornii,0,1,0,pool
12,Haemagogus capricornii,19,1,0,pool
13,Haemagogus janthinomys,21,1,0,pool
14,Haemagogus janthinomys,0,1,0,pool
15,Haemagogus janthinomys,32,1,0,pool
16,Haemagogus celeste,9,3,0,pool
17,Haemagogus celeste,14,3,0,pool
18,Haemagogus celeste,0,5,0,pool
19,Haemagogus celeste,0,5,0,pool
20,Haemagogus celeste,0,5,0,pool
22,Haemagogus celeste,0,4,0,pool
30,Haemagogus equinus,0,2,0,pool
31,Haemagogus equinus,0,4,0,pool
32,Haemagogus equinus,0,2,0,pool
33,Haemagogus equinus,0,16,0,pool
34,Haemagogus equinus,19,4,0,pool
36,Haemagogus equinus,24,1,0,pool
37,Haemagogus janthinomys,10,7,0,pool
38,Haemagogus janthinomys,15,13,0,pool
39,Haemagogus janthinomys,0,8,0,pool
40,Haemagogus janthinomys,10,16,0,pool
41,Haemagogus janthinomys,14,19,0,pool
42,Haemagogus janthinomys,20,6,0,pool
43,Haemagogus janthinomys,0,4,0,pool
44,Haemagogus janthinomys,24,3,0,pool
45,Haemagogus janthinomys,0,3,0,pool
46,Haemagogus janthinomys,0,2,0,pool
48,Haemagogus janthinomys,0,10,0,pool
49,Haemagogus janthinomys,0,5,0,pool
50,Haemagogus janthinomys,13,5,0,pool
51,Haemagogus janthinomys,0,5,0,pool
52,Haemagogus janthinomys,0,10,0,pool
54,Haemagogus janthinomys,20,2,0,pool
55,Haemagogus janthinomys,10,1,0,pool
56,Haemagogus janthinomys,10,1,0,pool
57,Haemagogus janthinomys,10,1,0,pool
58,Haemagogus janthinomys,10,1,0,pool
59,Haemagogus janthinomys,10,1,0,pool
60,Haemagogus janthinomys,13,1,0,pool
61,Haemagogus janthinomys,13,1,0,pool
62,Haemagogus janthinomys,0,1,0,pool
63,Haemagogus janthinomys,13,1,0,pool
64,Haemagogus janthinomys,13,1,0,pool
65,Haemagogus janthinomys,16,1,0,pool
66,Haemagogus janthinomys,16,1,0,pool
67,Haemagogus janthinomys,16,1,0,pool
68,Haemagogus janthinomys,16,1,0,pool
69,Haemagogus janthinomys,0,1,0,pool
70,Haemagogus janthinomys,17,1,0,pool
71,Haemagogus janthinomys,17,1,0,pool
72,Haemagogus janthinomys,0,1,0,pool
73,Haemagogus janthinomys,0,1,0,pool
74,Haemagogus janthinomys,17,1,0,pool
75,Haemagogus janthinomys,17,1,0,pool
76,Haemagogus janthinomys,0,1,0,pool
77,Haemagogus janthinomys,30,1,0,pool
